,BedroomAbvGr,SalePrice
0,3,208500
1,3,181500
2,3,223500
3,3,140000
4,4,250000
5,1,143000
6,3,307000
7,3,200000
8,2,129900
9,2,118000
10,3,129500
11,4,345000
12,2,144000
13,3,279500
14,2,157000
15,2,132000
16,2,149000
17,2,90000
18,3,159000
19,3,139000
20,4,325300
21,3,139400
22,3,230000
23,3,129900
24,3,154000
25,3,256300
26,3,134800
27,3,306000
28,2,207500
29,1,68500
30,3,40000
31,3,149350
32,3,179900
33,4,165500
34,2,277500
35,4,309000
36,3,145000
37,3,153000
38,3,109000
39,2,82000
40,3,160000
41,2,170000
42,2,144000
43,3,130250
44,3,141000
45,2,319900
46,1,239686
47,3,249700
48,2,113000
49,3,127000
50,3,177000
51,3,114500
52,2,110000
53,0,385000
54,3,130000
55,3,180500
56,3,172500
57,3,196500
58,3,438780
59,2,124900
60,3,158000
61,3,101000
62,2,202500
63,3,140000
64,3,219500
65,4,317000
66,3,180000
67,3,226000
68,2,80000
69,3,225000
70,3,244000
71,2,129500
72,3,185000
73,3,144900
74,3,107400
75,2,91000
76,2,135750
77,2,127000
78,4,136500
79,2,110000
80,4,193500
81,2,153500
82,3,245000
83,3,126500
84,3,168500
85,4,260000
86,3,174000
87,2,164500
88,2,85000
89,3,123600
90,2,109900
91,2,98600
92,2,163500
93,4,133900
94,3,204750
95,3,185000
96,3,214000
97,3,94750
98,2,83000
99,3,128950
100,3,205000
101,3,178000
102,4,118964
103,3,198900
104,4,169500
105,3,250000
106,2,100000
107,2,115000
108,3,115000
109,3,190000
110,4,136900
111,3,180000
112,4,383970
113,3,217000
114,3,259500
115,2,176000
116,3,139000
117,2,155000
118,5,320000
119,3,163990
120,1,180000
121,3,100000
122,3,136000
123,2,153900
124,3,181000
125,2,84500
126,2,128000
127,3,87000
128,3,155000
129,3,150000
130,4,226000
131,3,244000
132,3,150750
133,2,220000
134,3,180000
135,3,174000
136,3,143000
137,5,171000
138,3,230000
139,3,231500
140,3,115000
141,3,260000
142,4,166000
143,3,204000
144,6,125000
145,3,130000
146,2,105000
147,3,222500
148,3,141000
149,3,115000
150,3,122000
151,2,372402
152,4,190000
153,1,235000
154,4,125000
155,2,79000
156,2,109500
157,4,269500
158,3,254900
159,4,320000
160,3,162500
161,3,412500
162,3,220000
163,1,103200
164,3,152000
165,4,127500
166,2,190000
167,3,325624
168,3,183500
169,2,228000
170,2,128500
171,3,215000
172,2,239000
173,3,163000
174,3,184000
175,4,243000
176,4,211000
177,4,172500
178,1,501837
179,2,100000
180,3,177000
181,4,200100
182,3,120000
183,3,200000
184,3,127000
185,4,475000
186,3,173000
187,3,135000
188,2,153337
189,0,286000
190,3,315000
191,4,184000
192,3,192000
193,3,130000
194,3,127000
195,3,148500
196,3,311872
197,4,235000
198,5,104000
199,3,274900
200,2,140000
201,3,171500
202,2,112000
203,1,149000
204,2,110000
205,3,180500
206,3,143900
207,3,141000
208,3,277000
209,3,145000
210,2,98000
211,3,186000
212,3,252678
213,3,156000
214,3,161750
215,2,134450
216,3,210000
217,3,107000
218,3,311500
219,2,167240
220,2,204900
221,4,200000
222,3,179900
223,2,97000
224,3,386250
225,3,112000
226,4,290000
227,2,106000
228,3,125000
229,2,192500
230,3,148000
231,4,403000
232,2,94500
233,3,128200
234,4,216500
235,2,89500
236,3,185500
237,3,194500
238,3,318000
239,3,113000
240,3,262500
241,2,110500
242,3,79000
243,3,120000
244,3,205000
245,3,241500
246,4,137000
247,2,140000
248,3,180000
249,4,277000
250,3,76500
251,2,235000
252,3,173000
253,3,158000
254,3,145000
255,4,230000
256,3,207500
257,3,220000
258,3,231500
259,2,97000
260,3,176000
261,3,276000
262,3,151000
263,3,130000
264,2,73000
265,3,175500
266,3,185000
267,4,179500
268,2,120500
269,3,148000
270,3,266000
271,2,241500
272,4,290000
273,3,139000
274,2,124500
275,3,205000
276,3,201000
277,2,141000
278,3,415298
279,4,192000
280,3,228500
281,2,185000
282,2,207500
283,3,244600
284,2,179200
285,2,164700
286,3,159000
287,3,88000
288,3,122000
289,3,153575
290,3,233230
291,6,135900
292,3,131000
293,3,235000
294,3,167000
295,3,142500
296,4,152000
297,3,239000
298,3,175000
299,3,158500
300,2,157000
301,4,267000
302,3,205000
303,3,149900
304,3,295000
305,3,305900
306,4,225000
307,3,89500
308,1,82500
309,3,360000
310,3,165600
311,2,132000
312,3,119900
313,3,375000
314,3,178000
315,3,188500
316,4,260000
317,3,270000
318,4,260000
319,3,187500
320,4,342643
321,4,354000
322,4,301000
323,3,126175
324,5,242000
325,2,87000
326,1,324000
327,3,145250
328,5,214500
329,3,78000
330,6,119000
331,3,139000
332,3,284000
333,2,207000
334,3,192000
335,3,228950
336,3,377426
337,3,214000
338,3,202500
339,3,155000
340,4,202900
341,2,82000
342,2,87500
343,2,266000
344,3,85000
345,3,140200
346,2,151500
347,3,157500
348,2,154000
349,4,437154
350,2,318061
351,2,190000
352,3,95000
353,2,105900
354,2,140000
355,3,177500
356,3,173000
357,3,134000
358,3,130000
359,3,280000
360,2,156000
361,3,145000
362,4,198500
363,2,118000
364,3,190000
365,3,147000
366,3,159000
367,3,165000
368,2,132000
369,3,162000
370,3,172400
371,4,134432
372,2,125000
373,3,123000
374,4,219500
375,1,61000
376,2,148000
377,4,340000
378,1,394432
379,3,179000
380,3,127000
381,2,187750
382,3,213500
383,2,76000
384,3,240000
385,2,192000
386,5,81000
387,3,125000
388,3,191000
389,3,426000
390,4,119000
391,3,215000
392,3,106500
393,2,100000
394,2,109000
395,3,129000
396,2,123000
397,4,169500
398,2,67000
399,2,241000
400,1,245500
401,3,164990
402,2,108000
403,4,258000
404,3,168000
405,3,150000
406,3,115000
407,4,177000
408,3,280000
409,3,339750
410,3,60000
411,3,145000
412,2,222000
413,2,115000
414,3,228000
415,3,181134
416,3,149500
417,4,239000
418,3,126000
419,3,142000
420,2,206300
421,3,215000
422,2,113000
423,4,315000
424,2,139000
425,3,135000
426,2,275000
427,3,109008
428,2,195400
429,3,175000
430,2,85400
431,4,79900
432,2,122500
433,3,181000
434,1,81000
435,3,212000
436,2,116000
437,2,119000
438,2,90350
439,3,110000
440,2,555000
441,4,118000
442,3,162900
443,2,172500
444,4,210000
445,3,127500
446,2,190000
447,4,199900
448,3,119500
449,2,120000
450,2,110000
451,2,280000
452,3,204000
453,3,210000
454,4,188000
455,3,175500
456,4,98000
457,2,256000
458,3,161000
459,3,110000
460,3,263435
461,3,155000
462,3,62383
463,3,188700
464,3,124000
465,2,178740
466,2,167000
467,3,146500
468,3,250000
469,3,187000
470,1,212000
471,3,190000
472,2,148000
473,2,440000
474,2,251000
475,2,132500
476,3,208900
477,3,380000
478,3,297000
479,2,89471
480,3,326000
481,2,374000
482,4,155000
483,2,164000
484,3,132500
485,3,147000
486,3,156000
487,3,175000
488,3,160000
489,1,86000
490,3,115000
491,3,133000
492,3,172785
493,3,155000
494,2,91300
495,2,34900
496,4,430000
497,4,184000
498,3,130000
499,2,120000
500,3,113000
501,3,226700
502,2,140000
503,1,289000
504,3,147000
505,4,124500
506,3,215000
507,2,208300
508,3,161000
509,3,124500
510,2,164900
511,2,202665
512,3,129900
513,3,134000
514,2,96500
515,3,402861
516,3,158000
517,3,265000
518,3,211000
519,3,234000
520,3,106250
521,3,150000
522,3,159000
523,3,184750
524,3,315750
525,3,176000
526,2,132000
527,3,446261
528,2,86000
529,4,200624
530,3,175000
531,3,128000
532,2,107500
533,1,39300
534,3,178000
535,3,107500
536,3,188000
537,3,111250
538,3,158000
539,3,272000
540,2,315000
541,4,248000
542,3,213250
543,1,133000
544,3,179665
545,4,229000
546,3,210000
547,2,129500
548,2,125000
549,4,263000
550,2,140000
551,3,112500
552,3,255500
553,2,108000
554,3,284000
555,2,113000
556,2,141000
557,3,108000
558,3,175000
559,2,234000
560,3,121500
561,2,170000
562,3,108000
563,4,185000
564,4,268000
565,4,128000
566,4,325000
567,3,214000
568,1,316600
569,2,135960
570,6,142600
571,2,120000
572,3,224500
573,3,170000
574,3,139000
575,2,118500
576,3,145000
577,3,164500
578,2,146000
579,4,131500
580,3,181900
581,3,253293
582,3,118500
583,3,325000
584,3,133000
585,2,369900
586,2,130000
587,2,137000
588,1,143000
589,2,79500
590,3,185900
591,3,451950
592,2,138000
593,1,140000
594,3,110000
595,3,319000
596,3,114504
597,2,194201
598,3,217500
599,3,151000
600,3,275000
601,3,141000
602,3,220000
603,2,151000
604,3,221000
605,3,205000
606,3,152000
607,3,225000
608,4,359100
609,3,118500
610,3,313000
611,3,148000
612,3,261500
613,3,147000
614,1,75500
615,3,137500
616,3,183200
617,2,105500
618,3,314813
619,4,305000
620,2,67000
621,4,240000
622,3,135000
623,2,168500
624,4,165150
625,3,160000
626,3,139900
627,3,153000
628,5,135000
629,3,168500
630,3,124000
631,2,209500
632,3,82500
633,3,139400
634,0,144000
635,8,200000
636,1,60000
637,3,93000
638,2,85000
639,1,264561
640,1,274000
641,3,226000
642,4,345000
643,4,152000
644,2,370878
645,3,143250
646,3,98300
647,3,155000
648,4,155000
649,1,84500
650,3,205950
651,4,108000
652,2,191000
653,3,135000
654,2,350000
655,3,88000
656,3,145500
657,3,149000
658,3,97500
659,3,167000
660,3,197900
661,4,402000
662,2,110000
663,3,137500
664,1,423000
665,3,230500
666,3,129000
667,3,193500
668,3,168000
669,2,137500
670,3,173500
671,3,103600
672,3,165000
673,3,257500
674,3,140000
675,3,148500
676,4,87000
677,2,109500
678,3,372500
679,3,128500
680,2,143000
681,3,159434
682,2,173000
683,3,285000
684,4,221000
685,3,207500
686,3,227875
687,2,148800
688,2,392000
689,2,194700
690,1,141000
691,4,755000
692,4,335000
693,2,108480
694,3,141500
695,2,176000
696,2,89000
697,2,123500
698,3,138500
699,2,196000
700,3,312500
701,3,140000
702,4,361919
703,4,140000
704,3,213000
705,3,55000
706,2,302000
707,2,254000
708,3,179540
709,3,109900
710,2,52000
711,2,102776
712,2,189000
713,3,129000
714,3,130500
715,3,165000
716,3,159500
717,3,157000
718,3,341000
719,3,128500
720,2,275000
721,1,143000
722,3,124500
723,4,135000
724,3,320000
725,3,120500
726,3,222000
727,2,194500
728,4,110000
729,2,103000
730,2,236500
731,3,187500
732,3,222500
733,3,131400
734,3,108000
735,2,163000
736,2,93500
737,3,239900
738,3,179000
739,3,190000
740,2,132000
741,3,142000
742,3,179000
743,3,175000
744,2,180000
745,4,299800
746,4,236000
747,4,265979
748,3,260400
749,4,98000
750,3,96500
751,3,162000
752,3,217000
753,3,275500
754,3,156000
755,3,172500
756,3,212000
757,3,158900
758,3,179400
759,4,290000
