,GrLivArea,BedroomAbvGr,SalePrice
0,1710,3,208500
1,1262,3,181500
2,1786,3,223500
3,1717,3,140000
4,2198,4,250000
5,1362,1,143000
6,1694,3,307000
7,2090,3,200000
8,1774,2,129900
9,1077,2,118000
10,1040,3,129500
11,2324,4,345000
12,912,2,144000
13,1494,3,279500
14,1253,2,157000
15,854,2,132000
16,1004,2,149000
17,1296,2,90000
18,1114,3,159000
19,1339,3,139000
20,2376,4,325300
21,1108,3,139400
22,1795,3,230000
23,1060,3,129900
24,1060,3,154000
25,1600,3,256300
26,900,3,134800
27,1704,3,306000
28,1600,2,207500
29,520,1,68500
30,1317,3,40000
31,1228,3,149350
32,1234,3,179900
33,1700,4,165500
34,1561,2,277500
35,2452,4,309000
36,1097,3,145000
37,1297,3,153000
38,1057,3,109000
39,1152,2,82000
40,1324,3,160000
41,1328,2,170000
42,884,2,144000
43,938,3,130250
44,1150,3,141000
45,1752,2,319900
46,2149,1,239686
47,1656,3,249700
48,1452,2,113000
49,955,3,127000
50,1470,3,177000
51,1176,3,114500
52,816,2,110000
53,1842,0,385000
54,1360,3,130000
55,1425,3,180500
56,1739,3,172500
57,1720,3,196500
58,2945,3,438780
59,780,2,124900
60,1158,3,158000
61,1111,3,101000
62,1370,2,202500
63,1710,3,140000
64,2034,3,219500
65,2473,4,317000
66,2207,3,180000
67,1479,3,226000
68,747,2,80000
69,2287,3,225000
70,2223,3,244000
71,845,2,129500
72,1718,3,185000
73,1086,3,144900
74,1605,3,107400
75,988,2,91000
76,952,2,135750
77,1285,2,127000
78,1768,4,136500
79,1230,2,110000
80,2142,4,193500
81,1337,2,153500
82,1563,3,245000
83,1065,3,126500
84,1474,3,168500
85,2417,4,260000
86,1560,3,174000
87,1224,2,164500
88,1526,2,85000
89,990,3,123600
90,1040,2,109900
91,1235,2,98600
92,964,2,163500
93,2291,4,133900
94,1786,3,204750
95,1470,3,185000
96,1588,3,214000
97,960,3,94750
98,835,2,83000
99,1225,3,128950
100,1610,3,205000
101,1732,3,178000
102,1535,4,118964
103,1226,3,198900
104,1818,4,169500
105,1992,3,250000
106,1047,2,100000
107,789,2,115000
108,1517,3,115000
109,1844,3,190000
110,1855,4,136900
111,1430,3,180000
112,2696,4,383970
113,2259,3,217000
114,2320,3,259500
115,1458,2,176000
116,1092,3,139000
117,1125,2,155000
118,3222,5,320000
119,1456,3,163990
120,988,1,180000
121,1123,3,100000
122,1080,3,136000
123,1199,2,153900
124,1586,3,181000
125,754,2,84500
126,958,2,128000
127,840,3,87000
128,1348,3,155000
129,1053,3,150000
130,2157,4,226000
131,2054,3,244000
132,1327,3,150750
133,1296,2,220000
134,1721,3,180000
135,1682,3,174000
136,1214,3,143000
137,1959,5,171000
138,1852,3,230000
139,1764,3,231500
140,864,3,115000
141,1734,3,260000
142,1385,4,166000
143,1501,3,204000
144,1728,6,125000
145,1709,3,130000
146,875,2,105000
147,2035,3,222500
148,1080,3,141000
149,1344,3,115000
150,969,3,122000
151,1710,2,372402
152,1993,4,190000
153,1252,1,235000
154,1200,4,125000
155,1096,2,79000
156,1040,2,109500
157,1968,4,269500
158,1947,3,254900
159,2462,4,320000
160,1232,3,162500
161,2668,3,412500
162,1541,3,220000
163,882,1,103200
164,1616,3,152000
165,1355,4,127500
166,1867,2,190000
167,2161,3,325624
168,1720,3,183500
169,1707,2,228000
170,1382,2,128500
171,1656,3,215000
172,1767,2,239000
173,1362,3,163000
174,1651,3,184000
175,2158,4,243000
176,2060,4,211000
177,1920,4,172500
178,2234,1,501837
179,968,2,100000
180,1525,3,177000
181,1802,4,200100
182,1340,3,120000
183,2082,3,200000
184,1252,3,127000
185,3608,4,475000
186,1217,3,173000
187,1656,3,135000
188,1224,2,153337
189,1593,0,286000
190,2727,3,315000
191,1479,4,184000
